provinsi,jenis,daerah,tahun,periode,gk,tahun_kategori,tahun_sq,gk_per_tahun,cluster
0,0,2,-1.2089552238805632,0,-0.06794590329463139,2015-2016,1.4615727333481028,0.05620216692272136,0
0,0,2,-1.2089552238805632,1,-0.01364413303699158,2015-2016,1.4615727333481028,0.011285887820721745,0
0,0,2,-0.8208955223880259,0,0.012859459017354025,2016-2017,0.6738694586767099,-0.015665159166595548,0
0,0,2,-0.8208955223880259,1,0.09997029316924329,2016-2017,0.6738694586767099,-0.1217819934970832,0
0,0,0,-1.2089552238805632,0,-0.043587073367648374,2015-2016,1.4615727333481028,0.03605350513126571,0
0,0,0,-1.2089552238805632,1,0.016041178209297336,2015-2016,1.4615727333481028,-0.013268628889172242,0
0,0,0,-0.8208955223880259,0,0.07375009310770235,2016-2017,0.6738694586767099,-0.08984102251302292,0
0,0,0,-0.8208955223880259,1,0.13272783124661916,2016-2017,0.6738694586767099,-0.16168663079134274,0
0,0,1,-1.2089552238805632,0,-0.05049797355581674,2015-2016,1.4615727333481028,0.04176992874370144,0
0,0,1,-1.2089552238805632,1,0.007610266423358479,2015-2016,1.4615727333481028,-0.0062949117329016355,0
0,0,1,-0.8208955223880259,0,0.05509774739946787,2016-2017,0.6738694586767099,-0.06711907410480908,0
0,0,1,-0.8208955223880259,1,0.1243162416420079,2016-2017,0.6738694586767099,-0.15143978527299767,0
0,0,2,-0.4328358208954885,0,0.166857244198254,2017-2018,0.1873468478502714,-0.385497771078755,0
0,0,2,-0.4328358208954885,1,0.28058760349245443,2017-2018,0.1873468478502714,-0.6482541184136523,0
0,0,2,-0.04477611940295114,0,0.3061315272075297,2018-2019,0.0020049008687873376,-6.836937440973344,1
0,0,2,-0.04477611940295114,1,0.3611417774471811,2018-2019,0.0020049008687873376,-8.06549969632649,1
0,0,0,-0.4328358208954885,0,0.17403221419789944,2017-2018,0.1873468478502714,-0.4020744259055233,0
0,0,0,-0.4328358208954885,1,0.2693742975953425,2017-2018,0.1873468478502714,-0.6223475151341158,0
0,0,0,-0.04477611940295114,0,0.31990180176699284,2018-2019,0.0020049008687873376,-7.144473572801588,1
0,0,0,-0.04477611940295114,1,0.3749571370964087,2018-2019,0.0020049008687873376,-8.374042728492807,1
0,0,1,-0.4328358208954885,0,0.17204202952115757,2017-2018,0.1873468478502714,-0.397476413031671,0
0,0,1,-0.4328358208954885,1,0.27247872806197543,2017-2018,0.1873468478502714,-0.6295198200053028,0
0,0,1,-0.04477611940295114,0,0.3158827880508539,2018-2019,0.0020049008687873376,-7.05471559980775,1
0,0,1,-0.04477611940295114,1,0.37091236047183296,2018-2019,0.0020049008687873376,-8.283709383877214,1
0,0,2,0.3432835820895862,0,0.3851141637476123,2019-2020,0.11784361773225767,1.1218543030907597,1
0,0,2,0.3432835820895862,1,0.47257923789050743,2019-2020,0.11784361773225767,1.3766438668982985,1
0,0,2,0.7313432835821235,0,0.6040087152807811,2020-2021,0.5348629984406823,0.8258894678328664,1
0,0,2,0.7313432835821235,1,0.6135281099481743,2020-2021,0.5348629984406823,0.8389057829903218,1
0,0,0,0.3432835820895862,0,0.44041424670717766,2019-2020,0.11784361773225767,1.2829458491033905,1
0,0,0,0.3432835820895862,1,0.5353570050238504,2019-2020,0.11784361773225767,1.5595182320258447,1
0,0,0,0.7313432835821235,0,0.5949208493297042,2020-2021,0.5348629984406823,0.8134632021446598,1
